Clave,N1,N2,N3,N4,N5,N6,N7,Nivel,Sintoma,Grado,symptom_id,symptom_type
"9,1",9,1,0,0,0,0,0,1,    Esta muy violento o agresivo [Grado : 2],[Grado : 2],1-9100000,1
"9,2",9,2,0,0,0,0,0,1,    No esta violento o agresivo,,1-9200000,1
"9,2,1",9,2,1,0,0,0,0,2,        Está alcoholizado o consumió drogas [Grado : 2],[Grado : 2],1-9210000,1
"9,2,2",9,2,2,0,0,0,0,2,        No está alcoholizado ni consumió drogas,,1-9220000,1
"9,2,2,1",9,2,2,1,0,0,0,3,            Tuvo trauma de cráneo [Grado : 2],[Grado : 2],1-9221000,1
"9,2,2,2",9,2,2,2,0,0,0,3,            No tuvo trama de cráneo [Grado : 3],[Grado : 3],1-9222000,1
10,10,0,0,0,0,0,0,0,CONFUSION-OBNUBILACION,,1-10000000,1
"10,1",10,1,0,0,0,0,0,1,    Respira Mal [Grado : 1],[Grado : 1],1-10100000,1
"10,2",10,2,0,0,0,0,0,1,    Respira Bien,,1-10200000,1
"10,2,1",10,2,1,0,0,0,0,2,        Está pálido o sudoroso [Grado : 2],[Grado : 2],1-10210000,1
"10,2,2",10,2,2,0,0,0,0,2,        No está pálido ni sudoroso,,1-10220000,1
"10,2,2,1",10,2,2,1,0,0,0,3,            Cuanto tiempo hace que está con este cuadro,,1-10221000,1
"10,2,2,1,1",10,2,2,1,1,0,0,4,                Menos de seis horas [Grado : 2],[Grado : 2],1-10221100,1
"10,2,2,1,2",10,2,2,1,2,0,0,4,                Entre seis y doce horas [Grado : 3],[Grado : 3],1-10221200,1
"10,2,2,1,3",10,2,2,1,3,0,0,4,                Más de doce horas [Grado : 3],[Grado : 3],1-10221300,1
"10,2,2,2",10,2,2,2,0,0,0,3,            Se desconoce el tiempo de evolución [Grado : 3],[Grado : 3],1-10222000,1
11,11,0,0,0,0,0,0,0,CAIDA DE ALTURA [Grado : 1],[Grado : 1],1-11000000,1
14,14,0,0,0,0,0,0,0,CEFALEA,,1-14000000,1
"14,1",14,1,0,0,0,0,0,1,    Habla con dificultad [Grado : 2],[Grado : 2],1-14100000,1
"14,2",14,2,0,0,0,0,0,1,    No Habla con dificultad,,1-14200000,1
"14,2,1",14,2,1,0,0,0,0,2,        Presenta vómitos [Grado : 3],[Grado : 3],1-14210000,1
"14,2,2",14,2,2,0,0,0,0,2,        No presenta vómitos [Grado : 3],[Grado : 3],1-14220000,1
15,15,0,0,0,0,0,0,0,DIARREA [Grado : 3],[Grado : 3],1-15000000,1
16,16,0,0,0,0,0,0,0,DEBILIDAD – DECAIMIENTO - PALIDEZ,,1-16000000,1
"16,1",16,1,0,0,0,0,0,1,    No está conciente [Grado : 1],[Grado : 1],1-16100000,1
"16,2",16,2,0,0,0,0,0,1,    Está conciente,,1-16200000,1
"16,2,1",16,2,1,0,0,0,0,2,        Respira mal [Grado : 2],[Grado : 2],1-16210000,1
"16,2,2",16,2,2,0,0,0,0,2,        Respira bien,,1-16220000,1
"16,2,2,1",16,2,2,1,0,0,0,3,            Hace menos de 60 minutos [Grado : 3],[Grado : 3],1-16221000,1
"16,2,2,2",16,2,2,2,0,0,0,3,            Hace más de 60 minutos,,1-16222000,1
"16,2,2,2,2,1",16,2,2,2,2,1,0,5,                    Tiene fiebre [Grado : 3],[Grado : 3],1-16222210,1
"16,2,2,2,2,2",16,2,2,2,2,2,0,5,                    No tiene fiebre [Grado : 3],[Grado : 3],1-16222220,1
18.,18,0,0,0,0,0,0,0,DISNEA,,1-18000000,1
"18,1",18,1,0,0,0,0,0,1,    Respira mal ahora,,1-18100000,1
"18,1,1",18,1,1,0,0,0,0,2,        Tiene alt. de la conciencia [Grado : 1],[Grado : 1],1-18110000,1
"18,1,2",18,1,2,0,0,0,0,2,        No tiene alt. de la conciencia,,1-18120000,1
"18,1,2,1",18,1,2,1,0,0,0,3,            Esta azulado o morado [Grado : 1],[Grado : 1],1-18121000,1
"18,1,2,2",18,1,2,2,0,0,0,3,            No está azul ni morado,,1-18122000,1
"18.1,2,2,1",18,1,2,2,1,0,0,4,                Tiene dificultad para hablar x la disnea [Grado: 2],[Grado: 2],1-18122100,1
"18,1,2,2,2",18,1,2,2,2,0,0,4,                No tiene dificultad para hablar [Grado : 3P],[Grado : 3P],1-18122200,1
"18,2",18,2,0,0,0,0,0,1,    Respira bien ahora,,1-18200000,1
18.2.1,18,2,1,0,0,0,0,2,        Tiene tos o fiebre [Grado : 3],[Grado : 3],1-18210000,1
18.2.2,18,2,2,0,0,0,0,2,        No tiene tos ni fiebre [Grado : 3],[Grado : 3],1-18220000,1
19,19,0,0,0,0,0,0,0,DOLOR ABDOMINAL,,1-19000000,1
"19,1",19,1,0,0,0,0,0,1,    El dolor es en la parte superior del abdomen,,1-19100000,1
"19,1,1",19,1,1,0,0,0,0,2,        Tiene antecedentes de enfermedad cardíaca [Grado : 2],[Grado : 2],1-19110000,1
"19,1,2",19,1,2,0,0,0,0,2,        No tiene antecedentes de enfermedad cardíaca [Grado:3],[Grado:3],1-19120000,1
"19,2",19,2,0,0,0,0,0,1,    El dolor no es en la parte superior del abdomen,,1-19200000,1
"19,2,1",19,2,1,0,0,0,0,2,        Tiene vómitos o diarrea [Grado : 3],[Grado : 3],1-19210000,1
"19,2,2",19,2,2,0,0,0,0,2,        No tiene vómitos o diarrea [Grado : 3],[Grado : 3],1-19220000,1
20,20,0,0,0,0,0,0,0,DOLOR DE TORAX [Nota : (REALIZAR ECG)],,1-20000000,1
"20,1",20,1,0,0,0,0,0,1,    Respira mal,,1-20100000,1
"20,1,1",20,1,1,0,0,0,0,2,        No está sudoroso ni pálido [Grado : 3P],[Grado : 3P],1-20110000,1
"20,1,2",20,1,2,0,0,0,0,2,        Está sudoroso o pálido [Grado : 1],[Grado : 1],1-20120000,1
"20,2",20,2,0,0,0,0,0,1,    Respira bien,,1-20200000,1
"20,2,1",20,2,1,0,0,0,0,2,        Esta sudoroso o pálido [Grado : 1],[Grado : 1],1-20210000,1
"20,2,2",20,2,2,0,0,0,0,2,        No está sudoroso ni pálido,,1-20220000,1
"20,2,2,1",20,2,2,1,0,0,0,3,            Tiene antecedentes cardiacos [Grado : 3P],[Grado : 3P],1-20221000,1
"20,2,2,2",20,2,2,2,0,0,0,3,            No tiene antecedentes cardiacos,,1-20222000,1
"20,2,2,2,1",20,2,2,2,1,0,0,4,                Menos de 12 hs de evolución [Grado : 2],[Grado : 2],1-20222100,1
"20,2,2,2,2",20,2,2,2,2,0,0,4,                Más de 12 hs de evolución,,1-20222200,1
"20,2,2,2,2,1",20,2,2,2,2,1,0,5,                    Tiene tos [Grado : 3],[Grado : 3],1-20222210,1
"20,2,2,2,2,2",20,2,2,2,2,2,0,5,                    No tiene fiebre o tos [Grado : 3],[Grado : 3],1-20222220,1
21,21,0,0,0,0,0,0,0,DISARTRIA (Dificultad para hablar),,1-21000000,1
"21,1",21,1,0,0,0,0,0,1,    Comenzó hace menos de 6 horas o se desconoce [Grado : 2],[Grado : 2],1-21100000,1
"21,2",21,2,0,0,0,0,0,1,    Hace más de 6 horas que comenzó,,1-21200000,1
"21,2,1",21,2,1,0,0,0,0,2,        Tiene dificultad para movilizar un miembro [Grado : 2],[Grado : 2],1-21210000,1
"21,2,2",21,2,2,0,0,0,0,2,        No tiene dificultad para movilizar un miembro [Grado : 3],[Grado : 3],1-21220000,1
22,22,0,0,0,0,0,0,0,TRANSTORNO EN LA MICCION,,1-22000000,1
"22,1",22,1,0,0,0,0,0,1,    Tiene sonda,,1-22100000,1
"22,1,1",22,1,1,0,0,0,0,2,        Está obstruida [Grado : 3P],[Grado : 3P],1-22110000,1
"22,1,2",22,1,2,0,0,0,0,2,        No está obstruida,,1-22120000,1
"22,1,2,1",22,1,2,1,0,0,0,3,            Tiene dolor abdominal [Grado : 3],[Grado : 3],1-22121000,1
"22,1,2,2",22,1,2,2,0,0,0,3,            No tiene dolor abdominal,,1-22122000,1
"22,1,2,2,1",22,1,2,2,1,0,0,4,                Tiene ardor uretral [Grado : 3],[Grado : 3],1-22122100,1
"22,1,2,2,2",22,1,2,2,2,0,0,4,                No tiene ardor uretral [Grado : 3],[Grado : 3],1-22122200,1
"22,2",22,2,0,0,0,0,0,1,    No tiene sonda,,1-22200000,1
"22,2,1",22,2,1,0,0,0,0,2,        Tiene dolor abdominal [Grado : 3],[Grado : 3],1-22210000,1
"22,2,2",22,2,2,0,0,0,0,2,        No tiene dolor abdominal,,1-22220000,1
23,23,0,0,0,0,0,0,0,ERUPCION CUTANEA,,1-23000000,1
"23,1",23,1,0,0,0,0,0,1,    Antecedentes de edema de glotis [Grado : 2],[Grado : 2],1-23100000,1
"23,2",23,2,0,0,0,0,0,1,    Sin antecedentes de edema de glotis,,1-23200000,1
"23,2,1",23,2,1,0,0,0,0,2,        Tiene ronchas en la piel [Grado : 3],[Grado : 3],1-23210000,1
"23,2,2",23,2,2,0,0,0,0,2,        Sin ronchas pero otras lesiones [Grado : 3],[Grado : 3],1-23220000,1
24,24,0,0,0,0,0,0,0,ELECTROCUCION,,1-24000000,1
"24,1",24,1,0,0,0,0,0,1,    No esta consciente [Grado : 1],[Grado : 1],1-24100000,1
"24,2",24,2,0,0,0,0,0,1,    Esta consciente,,1-24200000,1
"24,2,1",24,2,1,0,0,0,0,2,        Respira bien [Grado : 2],[Grado : 2],1-24210000,1
"24,2,1,2",24,2,1,2,0,0,0,3,            No Respira bien [Grado : 1],[Grado : 1],1-24212000,1
25,25,0,0,0,0,0,0,0,FIEBRE [Grado: 3],[Grado: 3],1-25000000,1
26,26,0,0,0,0,0,0,0,GRIPE [Grado : 3],[Grado : 3],1-26000000,1
27,27,0,0,0,0,0,0,0,HERIDA POR ARMA BLANCA O DE FUEGO [Nota : (EVALUAR APOYO POLICIAL)] [Grado : 1],[Grado : 1],1-27000000,1
28,28,0,0,0,0,0,0,0,HEMORRAGIAS (EVIDENCIA DE SANGRADO),,1-28000000,1
"28,1",28,1,0,0,0,0,0,1,    No está consciente [Grado : 1],[Grado : 1],1-28100000,1
"28,2",28,2,0,0,0,0,0,1,    Esta consciente,,1-28200000,1
"28,2,1",28,2,1,0,0,0,0,2,        Respira mal [Grado : 2],[Grado : 2],1-28210000,1
"28,2,2",28,2,2,0,0,0,0,2,        Respira bien,,1-28220000,1
"28,2,2,1",28,2,2,1,0,0,0,3,            Está sudoroso [Grado : 2],[Grado : 2],1-28221000,1
"28,2,2,2",28,2,2,2,0,0,0,3,            No está sudoroso,,1-28222000,1
"28,2,2,2,1",28,2,2,2,1,0,0,4,                Vómitos con sangre [Grado : 2],[Grado : 2],1-28222100,1
"28,2,2,2,2",28,2,2,2,2,0,0,4,                Materia fecal con sangre [Grado : 3],[Grado : 3],1-28222200,1
"28,2,2,2,2,1",28,2,2,2,2,1,0,5,                    Abundante [Grado : 2],[Grado : 2],1-28222210,1
"28,2,2,2,2,2",28,2,2,2,2,2,0,5,                    Escaso [Grado : 3],[Grado : 3],1-28222220,1
"28,2,2,2,3",28,2,2,2,3,0,0,4,                Orina con sangre [Grado : 3],[Grado : 3],1-28222300,1
"28,2,2,2,4",28,2,2,2,4,0,0,4,                Sangrado ginecológico,,1-28222400,1
"28,2,2,2,4,1",28,2,2,2,4,1,0,5,                    Sin embarazo [Grado : 3],[Grado : 3],1-28222410,1
"28,2,2,2,4,2",28,2,2,2,4,2,0,5,                    Con embarazo,,1-28222420,1
"28,2,2,2,4,2,1",28,2,2,2,4,2,1,6,                        Primer o segundo trimestre [Grado : 2],[Grado : 2],1-28222421,1
"28,2,2,2,4,2,2",28,2,2,2,4,2,2,6,                        Tercer trimestre [Grado : 1],[Grado : 1],1-28222422,1
"28,2,2,2,5",28,2,2,2,5,0,0,4,                Tos con sangre,,1-28222500,1
"28,2,2,2,5,1",28,2,2,2,5,1,0,5,                    Tiene dificultad respiratoria [Grado: 2],[Grado: 2],1-28222510,1
"28,2,2,2,5,2",28,2,2,2,5,2,0,5,                    No tiene dificultad respiratoria [Grado: 3],[Grado: 3],1-28222520,1
"28,2,2,2,6",28,2,2,2,6,0,0,4,                Sangra por nariz,,1-28222600,1
"28,2,2,2,6,1",28,2,2,2,6,1,0,5,                    Tuvo traumatismo [Grado : 2],[Grado : 2],1-28222610,1
"28,2,2,2,6,2",28,2,2,2,6,2,0,5,                    No tuvo traumatismo [Grado : 3] (Indicaciones prearribo y si no cede en 15 minutos [Grado : 2],[Grado : 3] (Indicaciones prearribo y si no cede en 15 minutos [Grado : 2],1-28222620,1
"28,2,2,2,7",28,2,2,2,7,0,0,4,                Se desconoce por donde sangra [Grado : 2],[Grado : 2],1-28222700,1
29,29,0,0,0,0,0,0,0,HIPERTENSION ARTERIAL,,1-29000000,1
"29,1",29,1,0,0,0,0,0,1,    Dificultad para hablar [Grado : 2],[Grado : 2],1-29100000,1
"29,2",29,2,0,0,0,0,0,1,    Sin Dificultad para hablar,,1-29200000,1
"29,2,1",29,2,1,0,0,0,0,2,        Cefalea [Grado : 3],[Grado : 3],1-29210000,1
"29,2,2",29,2,2,0,0,0,0,2,        Sin cefaleas ni otros síntomas [Grado : 3],[Grado : 3],1-29220000,1
30,30,0,0,0,0,0,0,0,HIPOTENSION ARTERIAL (TA menor de 90 mmHg),,1-30000000,1
"30,1",30,1,0,0,0,0,0,1,    Tiene dolor de pecho [Grado : 2],[Grado : 2],1-30100000,1
"30,2",30,2,0,0,0,0,0,1,    No tiene dolor de pecho,,1-30200000,1
"30,2,1",30,2,1,0,0,0,0,2,        Esta sudoroso [Grado : 3P],[Grado : 3P],1-30210000,1
"30,2,2",30,2,2,0,0,0,0,2,        No esta sudoroso,,1-30220000,1
"30,2,2,1",30,2,2,1,0,0,0,3,            No tiene síntomas específicos [Grado : 3],[Grado : 3],1-30221000,1
31,31,0,0,0,0,0,0,0,INTENTO DE SUICIDIO [Grado : 1] Evaluar apoyo policial y psiquiátrico,[Grado : 1] Evaluar apoyo policial y psiquiátrico,1-31000000,1
32,32,0,0,0,0,0,0,0,INCONTINENCIA DE ESFINTERES,,1-32000000,1
"32,1",32,1,0,0,0,0,0,1,    Tuvo convulsiones [Deriva : CONVULSIONES],,1-32100000,1
"32,2",32,2,0,0,0,0,0,1,    No tuvo convulsiones [Grado : 3],[Grado : 3],1-32200000,1
33,33,0,0,0,0,0,0,0,INTOXICACION POR GASES TOXICOS O DROGAS [Nota : (ALERTAR A LA TRIPULACION)],,1-33000000,1
"33,1",33,1,0,0,0,0,0,1,    No esta consciente [Grado : 1],[Grado : 1],1-33100000,1
"33,2",33,2,0,0,0,0,0,1,    Esta consciente,,1-33200000,1
"33,2,1",33,2,1,0,0,0,0,2,        Respira mal [Grado : 1],[Grado : 1],1-33210000,1
"33,2,2",33,2,2,0,0,0,0,2,        Respira bien,,1-33220000,1
"33,2,2,1",33,2,2,1,0,0,0,3,            Ocurrió recién (menos de 2 horas) [Grado : 2],[Grado : 2],1-33221000,1
"33,2,2,2",33,2,2,2,0,0,0,3,            No ocurrió recién (más de 2 horas),,1-33222000,1
"33,2,2,2,1",33,2,2,2,1,0,0,4,                Tiene nauseas vómitos o cefalea[Grado : 2],[Grado : 2],1-33222100,1
"33,2,2,2,2",33,2,2,2,2,0,0,4,"                No tiene nauseas, vómitos ni cefalea[Grado : 3P]",[Grado : 3P],1-33222200,1
34,34,0,0,0,0,0,0,0,LUMBALGIA,,1-34000000,1
"34,1",34,1,0,0,0,0,0,1,    Antecedentes de cólico renal,,1-34100000,1
"34,1,1",34,1,1,0,0,0,0,2,        Esta cursando un cólico renal [Grado : 2],[Grado : 2],1-34110000,1
"34,1,2",34,1,2,0,0,0,0,2,        No está cursando un cólico renal [Grado : 3],[Grado : 3],1-34120000,1
"34,2",34,2,0,0,0,0,0,1,    No tiene ant. cólico renal(único síntoma) [Grado : 3],[Grado : 3],1-34200000,1
35,35,0,0,0,0,0,0,0,MAREOS,,1-35000000,1
"35,1",35,1,0,0,0,0,0,1,    Tiene vómitos [Grado : 3],[Grado : 3],1-35100000,1
"35,2",35,2,0,0,0,0,0,1,    No tiene vómitos,,1-35200000,1
"35,2,1",35,2,1,0,0,0,0,2,        Tiene Dolor de cabeza [Grado : 3],[Grado : 3],1-35210000,1
"35,2,2",35,2,2,0,0,0,0,2,        No tiene Dolor de cabeza,,1-35220000,1
"35,2,2,1",35,2,2,1,0,0,0,3,            Tiene zumbidos en los oídos [Grado : 3],[Grado : 3],1-35221000,1
"35,2,2,2",35,2,2,2,0,0,0,3,            No tiene zumbidos en los oídos [Grado : 3],[Grado : 3],1-35222000,1
36,36,0,0,0,0,0,0,0,MORDEDURA DE...,,1-36000000,1
"36,1",36,1,0,0,0,0,0,1,    Sangra mucho [Grado: 1],[Grado: 1],1-36100000,1
"36,2",36,2,0,0,0,0,0,1,    No sangra mucho [Grado: 2],[Grado: 2],1-36200000,1
"36,2,1",36,2,1,0,0,0,0,2,        Lesión múltiples y/o en cara [Grado : 2],[Grado : 2],1-36210000,1
"36,2,2",36,2,2,0,0,0,0,2,        Sin Lesión múltiples y/o en cara [Grado : 3],[Grado : 3],1-36220000,1
37,37,0,0,0,0,0,0,0,NAUSEAS-VOMITOS,,1-37000000,1
"37,1",37,1,0,0,0,0,0,1,    Tiene vómitos con sangre [Grado: 2],[Grado: 2],1-37100000,1
"37,2",37,2,0,0,0,0,0,1,    No tiene vómitos con sangre,,1-37200000,1
"37,2,1",37,2,1,0,0,0,0,2,        Tuvo traumatismo de cráneo [Grado : 2],[Grado : 2],1-37210000,1
"37,2,2",37,2,2,0,0,0,0,2,        No tuvo traumatismo de cráneo,,1-37220000,1
"37,2,2,1",37,2,2,1,0,0,0,3,            Tiene dolor abdominal [Grado : 3],[Grado : 3],1-37221000,1
"37,2,2,2",37,2,2,2,0,0,0,3,            No tiene dolor abdominal [Grado : 3],[Grado : 3],1-37222000,1
38,38,0,0,0,0,0,0,0,POLITRAUMATISMO,,1-38000000,1
"38,1",38,1,0,0,0,0,0,1,    No esta consciente [Grado : 1],[Grado : 1],1-38100000,1
"38,2",38,2,0,0,0,0,0,1,    Esta consciente,,1-38200000,1
"38,2,1",38,2,1,0,0,0,0,2,        No respira o respira mal [Grado : 1],[Grado : 1],1-38210000,1
"38,2,2",38,2,2,0,0,0,0,2,        Respira bien,,1-38220000,1
"38,2,2,1",38,2,2,1,0,0,0,3,            Tiene hemorragia evidente [Grado : 1],[Grado : 1],1-38221000,1
"38,2,2,2",38,2,2,2,0,0,0,3,            No tiene hemorragia evidente,,1-38222000,1
"38,2,2,2,1",38,2,2,2,1,0,0,4,                Esta caído en el suelo [Grado : 1],[Grado : 1],1-38222100,1
"38,2,2,2,2",38,2,2,2,2,0,0,4,                No esta caído en el suelo [Grado : 2],[Grado : 2],1-38222200,1
39,39,0,0,0,0,0,0,0,PARESTESIAS (HORMIGUEOS) [Grado : 3],[Grado : 3],1-39000000,1
"39,1",39,1,0,0,0,0,0,1,    Tiene dificultad para mover el miembro [Grado: 3],[Grado: 3],1-39100000,1
"39,2",39,2,0,0,0,0,0,1,    No tiene dificultad para mover el miembro [Grado: 3],[Grado: 3],1-39200000,1
41,41,0,0,0,0,0,0,0,PACIENTE VIOLENTO[Nota:(EVALUAR APOYO POLICIAL)][Grado : 2],[Grado : 2],1-41000000,1
42,42,0,0,0,0,0,0,0,PROBLEMAS VINCULADOS CON LA DBT,,1-42000000,1
"42,1",42,1,0,0,0,0,0,1,    Está hipoglucémico (menor de 70) [Grado: 1],[Grado: 1],1-42100000,1
"42,2",42,2,0,0,0,0,0,1,    No está hipoglucémico (mayor de 70),,1-42200000,1
"42,2,1",42,2,1,0,0,0,0,2,        Está hiperglucémico,,1-42210000,1
"42,2,1,1",42,2,1,1,0,0,0,3,            Glucemia mayor a 300 [Grado : 2],[Grado : 2],1-42211000,1
"42,2,1,2",42,2,1,2,0,0,0,3,            Glucemia menor a 300 [Grado : 3P],[Grado : 3P],1-42212000,1
"42,2,2",42,2,2,0,0,0,0,2,        No está hiperglucémico [Grado: 3],[Grado: 3],1-42220000,1
43,43,0,0,0,0,0,0,0,PICADURA DE...,,1-43000000,1
"43,1",43,1,0,0,0,0,0,1,    Respira mal [Grado : 1],[Grado : 1],1-43100000,1
"43,2",43,2,0,0,0,0,0,1,    Respira bien,,1-43200000,1
"43,2,1",43,2,1,0,0,0,0,2,        Tiene hinchada la cara o lengua [Grado : 2],[Grado : 2],1-43210000,1
"43,2,2",43,2,2,0,0,0,0,2,        No tiene hinchada cara o lengua,,1-43220000,1
"43,2,2,1",43,2,2,1,0,0,0,3,            Antecedentes de edema de glotis [Grado : 3P],[Grado : 3P],1-43221000,1
"43,2,2,2",43,2,2,2,0,0,0,3,            Sin antecedentes de edema de glotis [Grado : 3],[Grado : 3],1-43222000,1
44,44,0,0,0,0,0,0,0,QUEMADURAS,,1-44000000,1
"44,1",44,1,0,0,0,0,0,1,    No esta consciente [Grado : 1],[Grado : 1],1-44100000,1
"44,2",44,2,0,0,0,0,0,1,    Esta consciente,,1-44200000,1
"44,2,1",44,2,1,0,0,0,0,2,        Respira mal [Grado : 1],[Grado : 1],1-44210000,1
"44,2,2",44,2,2,0,0,0,0,2,        Respira bien,,1-44220000,1
"44,2,2,1",44,2,2,1,0,0,0,3,            En cara-torso-abdomen o todo miembro [Grado : 1],[Grado : 1],1-44221000,1
"44,2,2,2",44,2,2,2,0,0,0,3,            No en cara-torso-abdomen o todo miembro [Grado : 3P],[Grado : 3P],1-44222000,1
45,45,0,0,0,0,0,0,0,SIN DATOS [Grado : 1],[Grado : 1],1-45000000,1
46,46,0,0,0,0,0,0,0,TOS [Grado : 3],[Grado : 3],1-46000000,1
50,50,0,0,0,0,0,0,0,TRAUMA DE TORAX,,1-50000000,1
"50,1",50,1,0,0,0,0,0,1,    Respira mal [Grado : 2],[Grado : 2],1-50100000,1
"50,2",50,2,0,0,0,0,0,1,    Respira bien,,1-50200000,1
"50,2,1",50,2,1,0,0,0,0,2,        Está sangrando [Grado : 2],[Grado : 2],1-50210000,1
"50,2,2",50,2,2,0,0,0,0,2,        No está sangrando,,1-50220000,1
"50,2,2,1",50,2,2,1,0,0,0,3,            Tiene dolor en el tórax [Grado : 3P],[Grado : 3P],1-50221000,1
"50,2,2,2",50,2,2,2,0,0,0,3,            No tiene dolor en el tórax [Grado : 3],[Grado : 3],1-50222000,1
51,51,0,0,0,0,0,0,0,TRAUMA DORSO LUMBAR,,1-51000000,1
"51,1",51,1,0,0,0,0,0,1,    Tiene dificultad para respirar [Grado : 2],[Grado : 2],1-51100000,1
"51,2",51,2,0,0,0,0,0,1,    No tiene dificultad para respirar,,1-51200000,1
"51,2,1",51,2,1,0,0,0,0,2,        Orinó con sangre [Grado : 2],[Grado : 2],1-51210000,1
"51,2,2",51,2,2,0,0,0,0,2,        No orinó con sangre,,1-51220000,1
"51,2,2,1",51,2,2,1,0,0,0,3,            No mueve bien las piernas [Grado : 2],[Grado : 2],1-51221000,1
"51,2,2,2",51,2,2,2,0,0,0,3,            Mueve bien las piernas [Grado : 3],[Grado : 3],1-51222000,1
52,52,0,0,0,0,0,0,0,TRAUMA DE ABDOMEN O PELVIS,,1-52000000,1
"52,1",52,1,0,0,0,0,0,1,    Está inconciente [Grado : 1],[Grado : 1],1-52100000,1
"52,2",52,2,0,0,0,0,0,1,    Está conciente,,1-52200000,1
"52,2,1",52,2,1,0,0,0,0,2,        Esta sangrando o sudoroso [Grado : 1],[Grado : 1],1-52210000,1
"52,3,2",52,3,2,0,0,0,0,2,        No esta sangrando o sudoroso,,1-52320000,1
"52,3,2,1",52,3,2,1,0,0,0,3,            No se moviliza [Grado : 2],[Grado : 2],1-52321000,1
"52,3,2,2",52,3,2,2,0,0,0,3,            Se moviliza,,1-52322000,1
"52,3,2,2,1",52,3,2,2,1,0,0,4,                Tiene dolor abdominal [Grado : 3P],[Grado : 3P],1-52322100,1
"52,3,2,2,2",52,3,2,2,2,0,0,4,                No tiene dolor abdominal [Grado : 3],[Grado : 3],1-52322200,1
53,53,0,0,0,0,0,0,0,TRAUMATISMO FACIAL,,1-53000000,1
"53,1",53,1,0,0,0,0,0,1,    No está conciente [Grado : 1],[Grado : 1],1-53100000,1
"53,2",53,2,0,0,0,0,0,1,    Está conciente,,1-53200000,1
"53,2,1",53,2,1,0,0,0,0,2,        Respira mal [Grado : 2],[Grado : 2],1-53210000,1
"53,2,2",53,2,2,0,0,0,0,2,        Respira bien,,1-53220000,1
"53,2,2,1",53,2,2,1,0,0,0,3,            Esta sangrando [Grado : 3P],[Grado : 3P],1-53221000,1
"53,2,2,2",53,2,2,2,0,0,0,3,            No esta sangrando [Grado : 3],[Grado : 3],1-53222000,1
54,54,0,0,0,0,0,0,0,TRAUMATISMO DE MIEMBROS,,1-54000000,1
"54,1",54,1,0,0,0,0,0,1,    Evidencia de fractura (deformación miembro-imp. Mo) [Grado : 2],[Grado : 2],1-54100000,1
"54,2",54,2,0,0,0,0,0,1,    No tiene evidencia de fractura,,1-54200000,1
"54,2,1",54,2,1,0,0,0,0,2,        Está sangrando [Grado : 2],[Grado : 2],1-54210000,1
"54,2,2",54,2,2,0,0,0,0,2,        No está sangrando,,1-54220000,1
"54,2,2,1",54,2,2,1,0,0,0,3,            Tiene dolor [Grado : 3P],[Grado : 3P],1-54221000,1
"54,2,2,2",54,2,2,2,0,0,0,3,            No tiene dolor [Grado : 3],[Grado : 3],1-54222000,1
55,55,0,0,0,0,0,0,0,TRAUMATISMO DE CRANEO,,1-55000000,1
"55,1",55,1,0,0,0,0,0,1,    No está consciente [Grado : 1],[Grado : 1],1-55100000,1
